,year,period,county,estabs,firms,avg_emp,avg_wage,total_wages,month_1,month_2,month_3
2012-10-01,2012.0,4.0,jefferson,448.0,432.0,14871.0,1236.0,239009831.0,15253.0,14795.0,14565.0
2012-10-01,2012.0,4.0,harris,6518.0,6137.0,147661.0,1324.0,2541474228.0,149659.0,147530.0,145794.0
2012-10-01,2012.0,4.0,hardin,98.0,98.0,1123.0,1110.0,16204070.0,1114.0,1132.0,1124.0
2012-10-01,2012.0,4.0,orange,124.0,118.0,2262.0,984.0,28943147.0,2276.0,2278.0,2233.0
2013-01-01,2013.0,1.0,hardin,95.0,95.0,1214.0,1065.0,16798511.0,1208.0,1190.0,1243.0
2013-01-01,2013.0,1.0,orange,126.0,120.0,2406.0,877.0,27435471.0,2405.0,2406.0,2407.0
2013-01-01,2013.0,1.0,harris,6524.0,6170.0,147355.0,1250.0,2394422037.0,143701.0,149160.0,149204.0
2013-01-01,2013.0,1.0,jefferson,444.0,429.0,13195.0,1154.0,197869474.0,12841.0,13382.0,13361.0
2013-04-01,2013.0,2.0,orange,124.0,118.0,1933.0,928.0,23333878.0,1944.0,1949.0,1907.0
2013-04-01,2013.0,2.0,hardin,99.0,96.0,1552.0,1204.0,24305925.0,1430.0,1614.0,1613.0
2013-04-01,2013.0,2.0,harris,6590.0,6244.0,149785.0,1201.0,2338380460.0,149520.0,149649.0,150186.0
2013-04-01,2013.0,2.0,jefferson,444.0,429.0,12926.0,1160.0,194980365.0,13123.0,12908.0,12746.0
2013-07-01,2013.0,3.0,harris,6640.0,6301.0,148324.0,1179.0,2273839564.0,147823.0,148956.0,148194.0
2013-07-01,2013.0,3.0,orange,119.0,113.0,1945.0,916.0,23161259.0,1883.0,1949.0,2003.0
2013-07-01,2013.0,3.0,hardin,98.0,95.0,1514.0,1071.0,21086112.0,1434.0,1480.0,1629.0
2013-07-01,2013.0,3.0,jefferson,440.0,424.0,12225.0,1144.0,181854980.0,12089.0,12154.0,12432.0
2013-10-01,2013.0,4.0,orange,120.0,114.0,1907.0,1074.0,26619152.0,1956.0,1906.0,1860.0
2013-10-01,2013.0,4.0,hardin,99.0,96.0,1707.0,1248.0,27686200.0,1754.0,1692.0,1675.0
2013-10-01,2013.0,4.0,harris,6689.0,6348.0,150239.0,1348.0,2631845578.0,150622.0,150066.0,150029.0
2013-10-01,2013.0,4.0,jefferson,440.0,423.0,12978.0,1187.0,200250918.0,13182.0,12985.0,12768.0
2014-01-01,2014.0,1.0,jefferson,437.0,420.0,12747.0,1151.0,190786488.0,12592.0,12749.0,12900.0
2014-01-01,2014.0,1.0,harris,6757.0,6412.0,152295.0,1305.0,2582906320.0,149608.0,153409.0,153869.0
2014-01-01,2014.0,1.0,orange,128.0,124.0,1820.0,885.0,20946751.0,1655.0,1814.0,1992.0
2014-01-01,2014.0,1.0,hardin,100.0,97.0,1330.0,1023.0,17686488.0,1453.0,1260.0,1278.0
2014-04-01,2014.0,2.0,orange,133.0,129.0,2089.0,1054.0,28620228.0,1994.0,2146.0,2128.0
2014-04-01,2014.0,2.0,jefferson,431.0,413.0,13697.0,1227.0,218563249.0,13451.0,13938.0,13702.0
2014-04-01,2014.0,2.0,hardin,100.0,97.0,1439.0,1113.0,20823870.0,1350.0,1462.0,1504.0
2014-04-01,2014.0,2.0,harris,6805.0,6458.0,158113.0,1264.0,2597296224.0,156813.0,159374.0,158153.0
2014-07-01,2014.0,3.0,orange,136.0,132.0,2275.0,1063.0,31448774.0,2231.0,2203.0,2392.0
2014-07-01,2014.0,3.0,harris,6842.0,6492.0,160445.0,1251.0,2609264280.0,158209.0,160703.0,162424.0
2014-07-01,2014.0,3.0,hardin,99.0,96.0,1529.0,1089.0,21658933.0,1547.0,1498.0,1543.0
2014-07-01,2014.0,3.0,jefferson,428.0,410.0,14458.0,1174.0,220705442.0,13970.0,14484.0,14919.0
2014-10-01,2014.0,4.0,jefferson,435.0,415.0,15698.0,1334.0,272167188.0,16021.0,15693.0,15380.0
2014-10-01,2014.0,4.0,harris,6902.0,6556.0,162968.0,1450.0,3072236952.0,163774.0,162468.0,162661.0
2014-10-01,2014.0,4.0,hardin,100.0,97.0,1535.0,1269.0,25323516.0,1585.0,1556.0,1464.0
2014-10-01,2014.0,4.0,orange,136.0,132.0,2462.0,1305.0,41769103.0,2354.0,2464.0,2569.0
2015-01-01,2015.0,1.0,hardin,100.0,97.0,1246.0,1024.0,16584030.0,1322.0,1257.0,1160.0
2015-01-01,2015.0,1.0,harris,7004.0,6650.0,164434.0,1320.0,2821509598.0,162454.0,165389.0,165458.0
2015-01-01,2015.0,1.0,orange,135.0,131.0,2761.0,1014.0,36410945.0,2689.0,2722.0,2872.0
2015-01-01,2015.0,1.0,jefferson,433.0,416.0,14363.0,1251.0,233550014.0,13995.0,14816.0,14277.0
2015-04-01,2015.0,2.0,hardin,100.0,97.0,1352.0,1140.0,20047742.0,1188.0,1370.0,1499.0
2015-04-01,2015.0,2.0,orange,133.0,129.0,2643.0,1139.0,39122789.0,2699.0,2671.0,2559.0
2015-04-01,2015.0,2.0,jefferson,429.0,411.0,14206.0,1272.0,234991744.0,13808.0,14454.0,14356.0
2015-04-01,2015.0,2.0,harris,7045.0,6690.0,165458.0,1262.0,2713804806.0,163704.0,165817.0,166852.0
2015-07-01,2015.0,3.0,harris,7106.0,6750.0,167908.0,1295.0,2826498133.0,166966.0,168251.0,168507.0
